sentence,labels
John lives in New York,"['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
Apple was founded by Steve Jobs,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER']"
Barack Obama was the 44th president of the United States,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
Amazon is a huge company,"['B-ORG', 'O', 'O', 'O', 'O']"
Google and Microsoft are tech giants,"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O']"
Paris is the capital of France,"['B-LOC', 'O', 'O', 'O', 'O', 'B-LOC']"
Elon Musk works at SpaceX,"['B-PER', 'I-PER', 'O', 'O', 'B-ORG']"
The Nile river flows through Egypt,"['B-LOC', 'O', 'O', 'O', 'B-LOC']"
Facebook is owned by Meta,"['B-ORG', 'O', 'O', 'O', 'B-ORG']"
Mount Everest is in Nepal,"['B-LOC', 'I-LOC', 'O', 'O', 'B-LOC']"
John lives in New York,"['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
Apple was founded by Steve Jobs,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER']"
Barack Obama was the 44th president of the United States,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
Amazon is a huge company,"['B-ORG', 'O', 'O', 'O', 'O']"
Google and Microsoft are tech giants,"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O']"
Paris is the capital of France,"['B-LOC', 'O', 'O', 'O', 'O', 'B-LOC']"
Elon Musk works at SpaceX,"['B-PER', 'I-PER', 'O', 'O', 'B-ORG']"
The Nile river flows through Egypt,"['B-LOC', 'O', 'O', 'O', 'B-LOC']"
Facebook is owned by Meta,"['B-ORG', 'O', 'O', 'O', 'B-ORG']"
Mount Everest is in Nepal,"['B-LOC', 'I-LOC', 'O', 'O', 'B-LOC']"
John lives in New York,"['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
Apple was founded by Steve Jobs,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER']"
Barack Obama was the 44th president of the United States,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
Amazon is a huge company,"['B-ORG', 'O', 'O', 'O', 'O']"
Google and Microsoft are tech giants,"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O']"
Paris is the capital of France,"['B-LOC', 'O', 'O', 'O', 'O', 'B-LOC']"
Elon Musk works at SpaceX,"['B-PER', 'I-PER', 'O', 'O', 'B-ORG']"
The Nile river flows through Egypt,"['B-LOC', 'O', 'O', 'O', 'B-LOC']"
Facebook is owned by Meta,"['B-ORG', 'O', 'O', 'O', 'B-ORG']"
Mount Everest is in Nepal,"['B-LOC', 'I-LOC', 'O', 'O', 'B-LOC']"
John lives in New York,"['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
Apple was founded by Steve Jobs,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER']"
Barack Obama was the 44th president of the United States,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
Amazon is a huge company,"['B-ORG', 'O', 'O', 'O', 'O']"
Google and Microsoft are tech giants,"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O']"
Paris is the capital of France,"['B-LOC', 'O', 'O', 'O', 'O', 'B-LOC']"
Elon Musk works at SpaceX,"['B-PER', 'I-PER', 'O', 'O', 'B-ORG']"
The Nile river flows through Egypt,"['B-LOC', 'O', 'O', 'O', 'B-LOC']"
Facebook is owned by Meta,"['B-ORG', 'O', 'O', 'O', 'B-ORG']"
Mount Everest is in Nepal,"['B-LOC', 'I-LOC', 'O', 'O', 'B-LOC']"
John lives in New York,"['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
Apple was founded by Steve Jobs,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER']"
Barack Obama was the 44th president of the United States,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
Amazon is a huge company,"['B-ORG', 'O', 'O', 'O', 'O']"
Google and Microsoft are tech giants,"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O']"
Paris is the capital of France,"['B-LOC', 'O', 'O', 'O', 'O', 'B-LOC']"
Elon Musk works at SpaceX,"['B-PER', 'I-PER', 'O', 'O', 'B-ORG']"
The Nile river flows through Egypt,"['B-LOC', 'O', 'O', 'O', 'B-LOC']"
Facebook is owned by Meta,"['B-ORG', 'O', 'O', 'O', 'B-ORG']"
Mount Everest is in Nepal,"['B-LOC', 'I-LOC', 'O', 'O', 'B-LOC']"
